Clone,Media,Day,Time,VCD (10^6 cells/mL),Viablity,Titer (mg/L),Ammonia (g/L),Potassium (g/L),Glucose (g/L),Lactate (g/L),Glutamine (g/L),Glutamate (g/L),Asp (mg/L),Asn (mg/L),Ser (mg/L),Ala (mg/L),Pro (mg/L),Cys (mg/L),His (mg/L),Gly (mg/L),Arg (mg/L),Thr (mg/L),Tyr (mg/L),Val (mg/L),Met (mg/L),Lys (mg/L),Ile (mg/L),Leu (mg/L),Phe (mg/L)
1,A,0,0,0.225,0.857,,0.03,0.3305,5.215,0.001,1.095,0.0075,133,450,315,4.445,115,35.12,62.96,18.75,295,106.9,111.58,105.7,111.75,274.5,108.94,196.5,70.96
1,A,1,24,0.468,0.964,<9.26,0.051,0.331,5.26,0.148,0.8935,0.0225,121.7907678,384.3926445,274.6007896,73.31280039,104.0322089,35.87158251,36.96412337,32.14047889,223.8619393,94.07128351,53.7017284,88.87764908,97.45359394,190.0268351,90.71780323,163.4935121,61.36244983
1,A,2,48,1.004,0.942,29.1,0.091,0.3115,4.735,0.3855,0.5265,0.055,121.5724988,324.3750257,217.2679939,189.0678815,98.22894793,24.59469751,31.39738435,54.49593363,210.4461829,83.1991618,46.17463814,75.55983217,91.44968563,172.7818467,81.2166467,146.9108749,51.04850389
1,A,3,72,2.584,0.971,78.2,0.1285,0.2925,3.68,0.747,0.057,0.0785,110.5993087,167.5348306,130.3475937,393.6394335,87.45974348,8.799954955,17.63104315,82.28642667,167.2260984,52.77974406,21.36541353,39.22596025,76.27972036,121.0727304,49.76593269,86.85142772,25.05987169
1,A,4,96,3.846,0.96,126,0.111,0.2955,2.625,0.6435,0.0035,0.0845,64.06780101,24.7850299,75.02714871,460.5446287,93.583129,0,6.352248623,120.7616176,130.9185189,26.6090233,5.163376366,6.845352642,64.63365744,82.0587047,19.43008174,26.51822093,0
1,A,5,120,3.504,0.783,146,0.1065,0.31,2.29,0.429,0.0345,0.067,31.93849441,10.13110774,62.00045854,491.7782657,114.0122483,0,5.286727506,152.6157419,131.4522416,24.84545501,5.678232351,5.346939644,64.99428302,81.59614157,16.45812519,20.14218181,0
1,A,6,144,1.856,0.398,159,0.108,0.3245,2.105,0.3775,0.0315,0.105,22.68483768,8.061613562,52.50097469,461.7817985,124.9205598,0,6.024088878,165.6594351,137.4078297,26.23954389,5.446576115,4.594984152,65.68018611,82.8736321,12.89307795,17.13336294,0
1,A,7,168,0.741,0.164,163,0.109,0.332,2,0.3655,0.0275,0.126,23.60523463,5.69059459,44.7186834,450.3924068,133.0146286,0,5.875179408,178.4239782,135.4641233,26.19936933,5.77494883,4.334464139,63.46717093,84.74519881,13.0071005,16.56624002,0
1,A,8,192,0.435,0.11,167,0.11,0.3345,1.935,0.375,0.007,0.15,23.03087381,5.143365973,43.0899715,456.4265763,131.0876392,0,6.201742268,193.2550453,135.1519553,26.05765119,4.627092179,4.34482573,64.16548345,85.62860369,13.87505922,17.77313479,0
1,B,0,0,0.181,0.872,,0.0175,0.6765,5.305,0.005,1.095,0.014,266,900,630,8.89,230,70.24,125.92,37.5,590,213.8,223.16,211.4,223.5,549,217.88,393,141.92
1,B,1,24,0.452,0.923,<9.26,0.036,0.6785,5.285,0.1955,0.8915,0.0595,271.5548232,875.9155256,603.1455599,75.31045927,196.8595731,68.13842049,79.70344946,46.91556292,492.9578883,221.2242166,109.0098221,182.9379067,183.4763162,440.4508626,211.2337174,366.1985505,123.911974
1,B,2,48,1.033,0.919,31.2,0.0745,0.6645,4.715,0.494,0.524,0.122,271.7258239,775.0450148,521.4400703,200.3971852,187.8533768,50.68332879,76.02700469,69.23271284,460.9385888,196.8234011,94.60416269,194.9290458,169.8888085,410.6217962,162.6785413,333.7066825,111.3015831
1,B,3,72,2.458,0.966,84.9,0.12,0.6415,3.625,0.8665,0.081,0.1775,275.4600516,592.2900894,409.4067871,412.4739015,167.1708055,27.68830065,57.42332911,94.91210164,415.9876518,136.1959525,78.22483736,125.1684122,148.0698287,360.9159052,129.8984014,272.9205301,86.73750899
1,B,4,96,3.811,0.949,158,0.1115,0.6465,2.42,0.9585,0.026,0.1995,285.155791,305.816485,302.4610364,575.0701297,194.7999306,14.13889714,44.68916248,163.5067255,387.9350512,107.0902751,63.38130834,84.10560546,136.6940156,312.6515193,91.96933418,154.2405861,60.71082534
1,B,5,120,5.28,0.948,245,0.094,0.6355,1.365,0.722,0.026,0.2005,252.4796958,57.88433491,193.4218796,669.8304538,216.8092544,0,30.57369067,198.9358207,334.906201,70.44251177,36.69978721,38.56849631,114.0666532,251.7031908,51.15015688,74.32685403,31.11867488
